test_type,gender,age_min,age_max,run_min,run_max,score
run_km,male,34,36,10:11,10:20,45
run_km,male,34,36,10:21,10:30,44
run_km,male,34,36,10:31,10:40,43
run_km,male,34,36,10:41,10:50,42
run_km,male,34,36,10:51,11:00,41
run_km,male,34,36,11:01,11:10,40
run_km,male,34,36,11:11,11:20,39
run_km,male,34,36,11:21,11:30,38
run_km,male,34,36,11:31,11:40,38
run_km,male,34,36,11:41,11:50,37
run_km,male,34,36,11:51,12:00,37
run_km,male,34,36,12:01,12:10,36
run_km,male,34,36,12:11,12:20,36
run_km,male,34,36,12:21,12:30,35
run_km,male,34,36,12:31,12:40,35
run_km,male,34,36,12:41,12:50,34
run_km,male,34,36,12:51,13:00,33
run_km,male,34,36,13:01,13:10,32
run_km,male,34,36,13:11,13:20,31
run_km,male,34,36,13:21,13:30,30
run_km,male,34,36,13:31,13:40,29
run_km,male,34,36,13:41,13:50,28
run_km,male,34,36,13:51,14:00,27
run_km,male,34,36,14:01,14:10,26
run_km,male,34,36,14:11,14:20,25
run_km,male,34,36,14:21,14:30,24
run_km,male,34,36,14:31,14:40,23
run_km,male,34,36,14:41,14:50,22
run_km,male,34,36,14:51,15:00,21
run_km,male,34,36,15:01,15:10,20
run_km,male,34,36,15:11,15:20,19
run_km,male,34,36,15:21,15:30,18
run_km,male,34,36,15:31,15:40,16
run_km,male,34,36,15:41,15:50,14
run_km,male,34,36,15:51,16:00,12
run_km,male,34,36,16:01,16:10,10
run_km,male,34,36,16:11,16:20,8
run_km,male,34,36,16:21,16:30,6
run_km,male,34,36,16:31,16:40,4
run_km,male,34,36,16:41,16:50,2
run_km,male,34,36,16:51,17:00,1
run_km,male,34,36,17:01,17:10,0
run_km,male,34,36,17:11,17:20,0
run_km,male,34,36,17:21,17:30,0
run_km,male,34,36,17:31,17:40,0
run_km,male,34,36,17:41,17:50,0
run_km,male,34,36,17:51,18:00,0
run_km,male,34,36,18:01,18:10,0
run_km,male,34,36,18:11,18:20,0
run_km,male,34,36,0:00,8:30,50
run_km,male,34,36,8:31,8:40,50
run_km,male,34,36,8:41,8:50,50
run_km,male,34,36,8:51,9:00,50
run_km,male,34,36,9:01,9:10,50
run_km,male,34,36,9:11,9:20,50
run_km,male,34,36,9:21,9:30,50
run_km,male,34,36,9:31,9:40,49
run_km,male,34,36,9:41,9:50,48
run_km,male,37,39,0:00,10:00,48
run_km,male,37,39,10:01,10:10,47
run_km,male,37,39,10:11,10:20,46
run_km,male,37,39,10:21,10:30,45
run_km,male,37,39,10:31,10:40,44
run_km,male,37,39,10:41,10:50,43
run_km,male,37,39,10:51,11:00,42
run_km,male,37,39,11:01,11:10,41
run_km,male,37,39,11:11,11:20,40
run_km,male,37,39,11:21,11:30,39
run_km,male,37,39,11:31,11:40,38
run_km,male,37,39,11:41,11:50,38
run_km,male,37,39,11:51,12:00,37
run_km,male,37,39,12:01,12:10,37
run_km,male,37,39,12:11,12:20,36
run_km,male,37,39,12:21,12:30,36
run_km,male,37,39,12:31,12:40,35
run_km,male,37,39,12:41,12:50,35
run_km,male,37,39,12:51,13:00,34
run_km,male,37,39,13:01,13:10,33
run_km,male,37,39,13:11,13:20,32
run_km,male,37,39,13:21,13:30,31
run_km,male,37,39,13:31,13:40,30
run_km,male,37,39,13:41,13:50,29
run_km,male,37,39,13:51,14:00,28
run_km,male,37,39,14:01,14:10,27
run_km,male,37,39,14:11,14:20,26
run_km,male,37,39,14:21,14:30,25
run_km,male,37,39,14:31,14:40,24
run_km,male,37,39,14:41,14:50,23
run_km,male,37,39,14:51,15:00,22
run_km,male,37,39,15:01,15:10,21
run_km,male,37,39,15:11,15:20,20
run_km,male,37,39,15:21,15:30,19
run_km,male,37,39,15:31,15:40,18
run_km,male,37,39,15:41,15:50,16
run_km,male,37,39,15:51,16:00,14
run_km,male,37,39,16:01,16:10,12
run_km,male,37,39,16:11,16:20,10
run_km,male,37,39,16:21,16:30,8
run_km,male,37,39,16:31,16:40,6
run_km,male,37,39,16:41,16:50,4
run_km,male,37,39,16:51,17:00,2
run_km,male,37,39,17:01,17:10,1
run_km,male,37,39,17:11,17:20,0
run_km,male,37,39,17:21,17:30,0
run_km,male,37,39,17:31,17:40,0
run_km,male,37,39,17:41,17:50,0
run_km,male,37,39,17:51,18:00,0
run_km,male,37,39,18:01,18:10,0
run_km,male,37,39,18:11,18:20,0
run_km,male,37,39,0:00,8:30,50
run_km,male,37,39,8:31,8:40,50
run_km,male,37,39,8:41,8:50,50
run_km,male,37,39,8:51,9:00,50
run_km,male,37,39,9:01,9:10,50
run_km,male,37,39,9:11,9:20,50
run_km,male,37,39,9:21,9:30,50
run_km,male,37,39,9:31,9:40,50
run_km,male,37,39,9:41,9:50,49
run_km,male,40,42,0:00,10:00,49
run_km,male,40,42,10:01,10:10,48
run_km,male,40,42,10:11,10:20,47
run_km,male,40,42,10:21,10:30,46
run_km,male,40,42,10:31,10:40,45
run_km,male,40,42,10:41,10:50,44
run_km,male,40,42,10:51,11:00,43
run_km,male,40,42,11:01,11:10,42
run_km,male,40,42,11:11,11:20,41
run_km,male,40,42,11:21,11:30,40
run_km,male,40,42,11:31,11:40,39
run_km,male,40,42,11:41,11:50,38
run_km,male,40,42,11:51,12:00,38
run_km,male,40,42,12:01,12:10,37
run_km,male,40,42,12:11,12:20,37
run_km,male,40,42,12:21,12:30,36
run_km,male,40,42,12:31,12:40,36
run_km,male,40,42,12:41,12:50,35
run_km,male,40,42,12:51,13:00,35
run_km,male,40,42,13:01,13:10,34
run_km,male,40,42,13:11,13:20,33
run_km,male,40,42,13:21,13:30,32
run_km,male,40,42,13:31,13:40,31
run_km,male,40,42,13:41,13:50,30
run_km,male,40,42,13:51,14:00,29
run_km,male,40,42,14:01,14:10,28
run_km,male,40,42,14:11,14:20,27
run_km,male,40,42,14:21,14:30,26
run_km,male,40,42,14:31,14:40,25
run_km,male,40,42,14:41,14:50,24
run_km,male,40,42,14:51,15:00,23
run_km,male,40,42,15:01,15:10,22
run_km,male,40,42,15:11,15:20,21
run_km,male,40,42,15:21,15:30,20
run_km,male,40,42,15:31,15:40,19
run_km,male,40,42,15:41,15:50,18
run_km,male,40,42,15:51,16:00,16
run_km,male,40,42,16:01,16:10,14
run_km,male,40,42,16:11,16:20,12
run_km,male,40,42,16:21,16:30,10
run_km,male,40,42,16:31,16:40,8
run_km,male,40,42,16:41,16:50,6
run_km,male,40,42,16:51,17:00,4
run_km,male,40,42,17:01,17:10,2
run_km,male,40,42,17:11,17:20,1
run_km,male,40,42,17:21,17:30,0
run_km,male,40,42,17:31,17:40,0
run_km,male,40,42,17:41,17:50,0
run_km,male,40,42,17:51,18:00,0
run_km,male,40,42,18:01,18:10,0
run_km,male,40,42,18:11,18:20,0
run_km,male,40,42,0:00,8:30,50
run_km,male,40,42,8:31,8:40,50
run_km,male,40,42,8:41,8:50,50
run_km,male,40,42,8:51,9:00,50
run_km,male,40,42,9:01,9:10,50
run_km,male,40,42,9:11,9:20,50
run_km,male,40,42,9:21,9:30,50
run_km,male,40,42,9:31,9:40,50
run_km,male,40,42,9:41,9:50,50
